id,ndvi_ne,ndvi_nw,ndvi_se,ndvi_sw,precipitation_amt_mm,reanalysis_air_temp_k,reanalysis_avg_temp_k,reanalysis_dew_point_temp_k,reanalysis_max_air_temp_k,reanalysis_min_air_temp_k,reanalysis_precip_amt_kg_per_m2,reanalysis_relative_humidity_percent,reanalysis_sat_precip_amt_mm,reanalysis_specific_humidity_g_per_kg,reanalysis_tdtr_k,station_avg_temp_c,station_diur_temp_rng_c,station_max_temp_c,station_min_temp_c,station_precip_mm,total_cases
1,0.1928857,0.1322571,0.3408857,0.2472,25.41,296.74,298.45,295.1842857,307.3,293.1,43.19,92.41857143,25.41,16.65142857,8.928571429,26.4,10.775,32.5,20.7,3,0
2,0.2168333,0.2761,0.2894571,0.2416571,60.61,296.6342857,298.4285714,295.3585714,306.6,291.1,46,93.58142857,60.61,16.86285714,10.31428571,26.9,11.56666667,34,20.8,55.6,0
3,0.1767571,0.1731286,0.2041143,0.1280143,55.52,296.4157143,297.3928571,295.6228571,304.5,292.6,64.77,95.84857143,55.52,17.12,7.385714286,26.8,11.46666667,33,20.7,38.1,0
4,0.2277286,0.1454286,0.2542,0.2003143,5.6,295.3571429,296.2285714,292.7971429,303.6,288.6,23.96,87.23428571,5.6,14.43142857,9.114285714,25.76666667,10.53333333,31.5,14.7,30,0
5,0.3286429,0.3221286,0.2543714,0.3610429,62.76,296.4328571,297.6357143,293.9571429,307,291.5,31.8,88.16142857,62.76,15.44428571,9.5,26.6,11.48,33.3,19.1,4,0
10,0.3320429,0.3210571,0.3146143,0.3242571,53.65,299.2185714,300.9285714,293.4728571,310.5,292.9,16.07,74.15142857,53.65,15.05714286,12.45714286,27.11666667,12.26666667,34,20,78,0
11,0.2955857,0.2956833,0.3122143,0.2659286,23.12,300.8028571,301.9357143,290.6357143,312.8,291.5,2.5,57.78714286,23.12,12.65285714,14.9,28.36666667,12.9,35.8,21.7,56.9,1
12,0.2846571,0.3097571,0.3878833,0.3281571,34.62,299.8585714,301.3714286,293.64,310.7,292.3,4.1,71.66,34.62,15.22714286,13.85714286,27.425,12.775,34.5,20.5,18.9,0
13,0.3488143,0.2957167,0.4048429,0.2425714,97.55,297.4357143,298.5142857,292.7071429,310.2,288.3,3.2,77.48714286,97.55,14.33857143,11.31428571,27.53333333,12.56666667,36,20.5,104.2,0
14,0.1756857,0.09948333,0.2257143,0.1827857,95.89,299.3557143,300.8857143,293.2171429,310.8,290,2.6,71.46285714,95.89,14.79857143,14.94285714,27.15,12.175,34,20.5,57.9,0
15,0.33754,0.2769429,0.2775,0.25505,46.22,298.3728571,300.5,294.6642857,309.8,292.7,16.6,82.37142857,46.22,16.14857143,11.97142857,26.7,11.675,34,20,63,0
49,0.3635667,0.1819143,0.2539714,0.2467286,126.46,296.6914286,297.8928571,294.46,307.6,291.5,30.63,89.48714286,126.46,15.96857143,9.728571429,26.86666667,10.73333333,34,19.8,17,0
50,0.3170833,0.2989667,0.2198714,0.2173429,47.13,295.4828571,296.4357143,294.3414286,302.6,291.9,95.06,94.01714286,47.13,15.78285714,7.271428571,26.88,10.68,33.4,20,37.1,0
51,0.1041,0.1082429,0.05965714,0.1137571,53.93,296,297.3214286,293.6471429,305.2,291,13.45,88.17142857,53.93,15.13428571,9.414285714,26.4,10.05,33.2,20.5,9.9,1
52,0.1923,0.2752857,0.3164571,0.3254143,1.22,294.8457143,296,290.5728571,306.1,288.4,1.82,79.32285714,1.22,12.46428571,12.34285714,0,0,32.3,17.1,31,0
53,0.2290833,0.1932667,0.2704571,0.2421857,52.1,295.7957143,297.05,292.7528571,305,291.3,23.6,84.85714286,52.1,14.29714286,8.557142857,26.5,11.36666667,33.2,20,70.1,0
88,0.3183667,0.2556,0.266,0.2973833,92.84,298.54,299.9571429,296.6985714,308.8,294.5,160.1,91.22142857,92.84,18.36142857,8.971428571,27.85,13.2,35.7,21,48.3,10
89,0.2483857,0.1795,0.2698143,0.2992333,41.96,298.3585714,300.15,296.2385714,309.2,293.8,46.9,89.77857143,41.96,17.79571429,9.414285714,26.95,10.45,34.5,21.6,9.1,7
90,0.2265857,0.2483333,0.2302,0.2435143,61.18,297.9514286,299.2428571,296.81,305.8,294.1,92.4,94.16571429,61.18,18.44285714,7.371428571,26.95,11.775,33.3,20.6,76.8,10
91,0.2127857,0.27455,0.1987,0.2284571,110.42,296.4071429,297.2142857,296.1085714,303.6,293.9,127.9,98.45714286,110.42,17.68,4.4,26.1,10.3,32.3,20.7,49,5
