id,ndvi_ne,ndvi_nw,ndvi_se,ndvi_sw,precipitation_amt_mm,reanalysis_air_temp_k,reanalysis_avg_temp_k,reanalysis_dew_point_temp_k,reanalysis_max_air_temp_k,reanalysis_min_air_temp_k,reanalysis_precip_amt_kg_per_m2,reanalysis_relative_humidity_percent,reanalysis_sat_precip_amt_mm,reanalysis_specific_humidity_g_per_kg,reanalysis_tdtr_k,station_avg_temp_c,station_diur_temp_rng_c,station_max_temp_c,station_min_temp_c,station_precip_mm,reanalysis_dew_point_temp_k_back_2,reanalysis_specific_humidity_g_per_kg_back_2,station_avg_temp_c_back_2,station_min_temp_c_back_2,reanalysis_dew_point_temp_k_back_1,reanalysis_specific_humidity_g_per_kg_back_1,station_avg_temp_c_back_1,station_min_temp_c_back_1,reanalysis_dew_point_temp_k_back_3,reanalysis_specific_humidity_g_per_kg_back_3,station_avg_temp_c_back_3,station_min_temp_c_back_3,reanalysis_dew_point_temp_k_back_4,reanalysis_specific_humidity_g_per_kg_back_4,station_avg_temp_c_back_4,station_min_temp_c_back_4,a_back_5,b_back_5,c_back_5,d_back_5,a_back_6,b_back_6,c_back_6,d_back_6,a_back_7,b_back_7,c_back_7,d_back_7,a_back_8,b_back_8,c_back_8,d_back_8
1,0.1226,0.103725,0.1984833,0.1776167,12.42,297.5728571,297.7428571,292.4142857,299.8,295.9,32,73.36571429,12.42,14.01285714,2.628571429,25.44285714,6.9,29.4,20,16,295.4342857,16.84857143,26.71428571,22.8,293.9514286,15.37285714,26.71428571,22.2,295.31,16.67285714,27.47142857,23.3,295.8214286,17.21,28.94285714,23.9,295.8514286,17.21285714,28.11428571,23.9,295.8657143,17.23428571,27.41428571,23.3,296.5314286,17.97714286,28.37142857,22.8,296.3785714,17.79,28.32857143,22.8
2,0.1699,0.142175,0.1623571,0.1554857,22.82,298.2114286,298.4428571,293.9514286,300.9,296.4,17.94,77.36857143,22.82,15.37285714,2.371428571,26.71428571,6.371428571,31.7,22.2,8.6,295.31,16.67285714,27.47142857,23.3,295.4342857,16.84857143,26.71428571,22.8,295.8214286,17.21,28.94285714,23.9,295.8514286,17.21285714,28.11428571,23.9,295.8657143,17.23428571,27.41428571,23.3,296.5314286,17.97714286,28.37142857,22.8,296.3785714,17.79,28.32857143,22.8,296.6514286,18.07142857,28.32857143,24.4
3,0.03225,0.1729667,0.1572,0.1708429,34.54,298.7814286,298.8785714,295.4342857,300.5,297.3,26.1,82.05285714,34.54,16.84857143,2.3,26.71428571,6.485714286,32.2,22.8,41.4,295.8214286,17.21,28.94285714,23.9,295.31,16.67285714,27.47142857,23.3,295.8514286,17.21285714,28.11428571,23.9,295.8657143,17.23428571,27.41428571,23.3,296.5314286,17.97714286,28.37142857,22.8,296.3785714,17.79,28.32857143,22.8,296.6514286,18.07142857,28.32857143,24.4,296.0414286,17.41857143,27.55714286,21.7
4,0.1286333,0.2450667,0.2275571,0.2358857,15.36,298.9871429,299.2285714,295.31,301.4,297,13.9,80.33714286,15.36,16.67285714,2.428571429,27.47142857,6.771428571,33.3,23.3,4,295.8514286,17.21285714,28.11428571,23.9,295.8214286,17.21,28.94285714,23.9,295.8657143,17.23428571,27.41428571,23.3,296.5314286,17.97714286,28.37142857,22.8,296.3785714,17.79,28.32857143,22.8,296.6514286,18.07142857,28.32857143,24.4,296.0414286,17.41857143,27.55714286,21.7,296.3342857,17.73714286,28.12857143,23.9
5,0.1962,0.2622,0.2512,0.24734,7.52,299.5185714,299.6642857,295.8214286,301.9,297.5,12.2,80.46,7.52,17.21,3.014285714,28.94285714,9.371428571,35,23.9,5.8,295.8657143,17.23428571,27.41428571,23.3,295.8514286,17.21285714,28.11428571,23.9,296.5314286,17.97714286,28.37142857,22.8,296.3785714,17.79,28.32857143,22.8,296.6514286,18.07142857,28.32857143,24.4,296.0414286,17.41857143,27.55714286,21.7,296.3342857,17.73714286,28.12857143,23.9,295.96,17.34142857,28.11428571,22.8
6,0.16241665,0.17485,0.2543143,0.1817429,9.58,299.63,299.7642857,295.8514286,302.4,298.1,26.49,79.89142857,9.58,17.21285714,2.1,28.11428571,6.942857143,34.4,23.9,39.1,296.5314286,17.97714286,28.37142857,22.8,295.8657143,17.23428571,27.41428571,23.3,296.3785714,17.79,28.32857143,22.8,296.6514286,18.07142857,28.32857143,24.4,296.0414286,17.41857143,27.55714286,21.7,296.3342857,17.73714286,28.12857143,23.9,295.96,17.34142857,28.11428571,22.8,296.1728571,17.59428571,28.24285714,22.8
7,0.1129,0.0928,0.2050714,0.2102714,3.48,299.2071429,299.2214286,295.8657143,301.3,297.7,38.6,82,3.48,17.23428571,2.042857143,27.41428571,6.771428571,32.2,23.3,29.7,296.3785714,17.79,28.32857143,22.8,296.5314286,17.97714286,28.37142857,22.8,296.6514286,18.07142857,28.32857143,24.4,296.0414286,17.41857143,27.55714286,21.7,296.3342857,17.73714286,28.12857143,23.9,295.96,17.34142857,28.11428571,22.8,296.1728571,17.59428571,28.24285714,22.8,296.5328571,17.95,28.2,23.3
8,0.0725,0.0725,0.1514714,0.1330286,151.12,299.5914286,299.5285714,296.5314286,300.6,298.4,30,83.37571429,151.12,17.97714286,1.571428571,28.37142857,7.685714286,33.9,22.8,21.1,296.6514286,18.07142857,28.32857143,24.4,296.3785714,17.79,28.32857143,22.8,296.0414286,17.41857143,27.55714286,21.7,296.3342857,17.73714286,28.12857143,23.9,295.96,17.34142857,28.11428571,22.8,296.1728571,17.59428571,28.24285714,22.8,296.5328571,17.95,28.2,23.3,297.0357143,18.51571429,28.04285714,22.8
9,0.10245,0.146175,0.1255714,0.1236,19.32,299.5785714,299.5571429,296.3785714,302.1,297.7,37.51,82.76857143,19.32,17.79,1.885714286,28.32857143,7.385714286,33.9,22.8,21.1,296.0414286,17.41857143,27.55714286,21.7,296.6514286,18.07142857,28.32857143,24.4,296.3342857,17.73714286,28.12857143,23.9,295.96,17.34142857,28.11428571,22.8,296.1728571,17.59428571,28.24285714,22.8,296.5328571,17.95,28.2,23.3,297.0357143,18.51571429,28.04285714,22.8,296.7285714,18.17428571,28.34285714,23.3
10,0.087475,0.12155,0.1606833,0.2025667,14.41,300.1542857,300.2785714,296.6514286,302.3,298.7,28.4,81.28142857,14.41,18.07142857,2.014285714,28.32857143,6.514285714,33.9,24.4,1.1,296.3342857,17.73714286,28.12857143,23.9,296.0414286,17.41857143,27.55714286,21.7,295.96,17.34142857,28.11428571,22.8,296.1728571,17.59428571,28.24285714,22.8,296.5328571,17.95,28.2,23.3,297.0357143,18.51571429,28.04285714,22.8,296.7285714,18.17428571,28.34285714,23.3,297.0171429,18.51571429,28.65714286,24.4
